time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	-9.25596e+061	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.757576	0.645797	7.21072	-3.42782e-018	4.28328e-017	radar	74.7877	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.12939	0.521871	7.2341	-0.374488	-0.0349087	lidar	0.685713	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26576	0.552686	7.15536	-0.15512	-0.00491115	radar	2.09715	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.63025	0.542509	7.1299	-0.0770778	0.0452615	lidar	0.501556	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.86253	0.550171	6.04429	-0.0862148	-0.390467	radar	6.72343	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.17194	0.553271	6.01189	-0.0681596	-0.291159	lidar	0.564523	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38571	0.619353	5.58911	0.000305367	-0.233291	radar	6.29317	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.66094	0.630101	5.57448	0.00614573	-0.1663	lidar	0.0797567	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92375	0.636997	5.50438	-0.00132469	-0.190325	radar	0.314942	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15851	0.638214	5.45618	0.00257274	-0.143197	lidar	1.19758	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44244	0.542221	5.48694	-0.126312	-0.530124	radar	1.38423	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74707	0.43754	5.55617	-0.232886	-0.757942	lidar	2.25855	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02532	0.519407	5.52574	-0.107894	-0.324896	radar	3.60823	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29953	0.517531	5.51345	-0.0958107	-0.257589	lidar	0.252354	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55814	0.557773	5.43021	-0.0535178	-0.141188	radar	1.84845	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74674	0.669449	5.28256	0.0487262	0.0841839	lidar	12.0175	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
