time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	0	0	0	radar	-9.25596e+061	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.44827	0.251375	-0.209215	-7.68157e-017	2.77556e-017	lidar	0.000125694	8.44818	0.251553	8.45	0.25	0	0
1477010443499690	8.45143	0.237096	-0.078031	0.00350273	0.00039539	radar	0.0269652	8.56759	0.241943	8.35	0.25	-1.81979	0
1477010443549747	8.45261	0.238493	-0.0742617	0.00187384	0.000126808	lidar	0.0125462	8.45582	0.253997	8.05	0.2	-3.99976	-0.99994
1477010443604698	8.35654	0.245159	-0.97148	-0.0228434	-0.00399223	radar	6.62765	8.42544	0.254042	7.7	0.15	-2.99982	0
1477010443659650	8.28912	0.245739	-1.01476	-0.0266989	-0.00500341	lidar	0.17975	8.23962	0.24916	7.45	0.100001	-1.8165	-0.908239
1477010443709653	8.10229	0.199224	-1.84538	0.558304	0.197299	radar	23.1472	7.93286	0.188391	7.2	9.49949e-007	-2.72851	-0.909507
1477010443759657	7.97126	0.161803	-1.93552	0.496292	0.158062	lidar	1.13027	7.84073	0.159858	6.95	-0.15	-1.81898	-1.81898
1477010443809660	7.8035	0.173544	-2.22006	0.0996401	-0.253971	radar	6.01694	7.61269	0.155818	6.75	-0.349999	-2.00076	-2.00075
1477010443859663	7.65071	0.164707	-2.28818	0.0691968	-0.258317	lidar	0.764939	7.54016	0.159641	6.6	-0.549999	-0.998836	-1.99769
1477010443914714	7.54761	0.10729	-2.24198	0.205893	-0.0249571	radar	0.803224	7.50815	0.0953827	6.5	-0.85	-0.908747	-3.63498
1477010443969766	7.40511	0.0783981	-2.28014	0.21262	0.00906568	lidar	0.331954	7.3426	0.0345312	6.35	-1.15	-1.81897	-1.81898
1477010444024741	7.26054	0.0183873	-2.38742	0.288777	0.203989	radar	1.85628	7.20598	0.00492725	6.3	-1.45	0.909739	-3.63894
1477010444079717	7.11487	-0.0217233	-2.42154	0.303377	0.224875	lidar	0.27084	7.05406	-0.0533413	6.3	-1.8	-0.999494	-2.9985
1477010444134693	7.014	-0.13206	-2.39521	0.532516	0.875797	radar	2.10529	6.74585	-0.143185	6.3	-2.1	0.999984	-2.99994
1477010444189670	6.88991	-0.204782	-2.41756	0.58776	0.901298	lidar	0.234436	6.84972	-0.258748	6.35	-2.4	0	-2.72613
1477010444239651	6.78287	-0.326943	-2.49672	0.757815	1.22882	radar	1.9933	6.66966	-0.346668	6.4	-2.7	0.909499	-2.72851
1477010444289632	6.68296	-0.416746	-2.51574	0.818943	1.2322	lidar	0.189514	6.64329	-0.462604	6.45	-3	0	-2.99754
1477010444339690	6.62562	-0.546982	-2.51952	0.994768	1.51336	radar	1.3991	6.60862	-0.557035	6.5	-3.3	0.910402	-2.7312
1477010444389748	6.5609	-0.654381	-2.51954	1.06999	1.51222	lidar	0.000593565	6.56029	-0.650892	6.65	-3.6	1.81722	-2.72583
1477010444444769	6.50482	-0.823944	-2.599	1.25038	1.72722	radar	2.49852	6.40696	-0.842921	6.8	-3.9	0.907988	-2.72396
1477010444499791	6.46607	-0.964052	-2.60681	1.35013	1.73713	lidar	0.36475	6.45805	-1.05268	6.9	-4.2	0.909334	-2.72801
